k,n_open,n_eligible,n_critical,n_decision_relevant,n_kept,n_kept_eligible,n_kept_critical,n_kept_open_other,n_kept_completed,n_kept_padding,slack_correlation,mean_slack_kept,mean_slack_discarded,slack_diff_kept_minus_disc,critical_retention,eligible_retention,successor_retention,mean_frontier_dist_kept,mean_frontier_dist_all,mean_frontier_dist_kept_dr,mean_frontier_dist_all_dr,step,method,instance,rule
20.0,52.0,10.0,6.0,42.0,20.0,10.0,3.0,8.0,0.0,0.0,0.12888170005182667,21.188335418701172,19.809375762939453,1.3789596557617188,0.5,1.0,0.2,1.649999976158142,2.173076868057251,3.299999952316284,2.690476179122925,0,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,52.0,10.0,6.0,42.0,20.0,10.0,2.7,8.3,0.0,0.0,-0.027503452552147083,18.5083345413208,20.646876525878906,-2.1385419845581053,0.45,1.0,0.24914215686274507,1.3449999928474425,2.173076868057251,2.689999985694885,2.690476179122925,0,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,51.0,9.0,5.0,42.0,20.0,9.0,2.0,9.0,0.0,0.0,0.17108190272366372,23.387880325317383,18.387636184692383,5.000244140625,0.4,1.0,0.35294117647058826,1.2999999523162842,2.117647171020508,2.3636362552642822,2.5714285373687744,1,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,51.0,9.0,5.0,42.0,20.0,9.0,1.0,10.0,0.0,0.0,0.012733381617004116,20.362425804138184,19.461183929443358,0.9012418746948242,0.2,1.0,0.256484348125215,1.429999989271164,2.117647171020508,2.6,2.5714285373687744,1,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,50.0,8.0,5.0,42.0,20.0,8.0,2.0,10.0,0.0,0.0,0.25629698379459337,26.486112594604492,16.92611312866211,9.559999465942383,0.4,1.0,0.4117647058823529,1.649999976158142,2.059999942779541,2.75,2.452380895614624,2,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,50.0,8.0,5.0,42.0,20.0,8.0,1.6,10.4,0.0,0.0,-0.0005458327372612218,19.82666721343994,19.589889907836913,0.23677730560302734,0.32000000000000006,1.0,0.2753723770209838,1.4650000095367433,2.059999942779541,2.4416666865348815,2.452380895614624,2,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,49.0,5.0,5.0,44.0,20.0,5.0,3.0,12.0,0.0,0.0,0.24941026039839595,23.4788875579834,17.691381454467773,5.787506103515625,0.6,1.0,0.47058823529411764,1.75,2.0204081535339355,2.3333332538604736,2.25,3,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,49.0,5.0,5.0,44.0,20.0,5.0,1.6,13.4,0.0,0.0,0.014008070591125816,19.290112495422363,19.857990264892578,-0.5678777694702148,0.32,1.0,0.3524167035235147,1.725,2.0204081535339355,2.3,2.25,3,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,48.0,3.0,5.0,45.0,20.0,3.0,3.0,14.0,0.0,0.0,0.2698769920442311,22.296079635620117,18.297025680541992,3.999053955078125,0.6,1.0,0.5882352941176471,1.600000023841858,1.9791666269302368,1.8823529481887817,2.1111111640930176,4,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,48.0,3.0,5.0,45.0,20.0,3.0,1.5,15.5,0.0,0.0,-0.07637903088537026,21.196766471862794,18.964466094970703,2.23230037689209,0.3,1.0,0.369733893557423,1.899999976158142,1.9791666269302368,2.2352941274642943,2.1111111640930176,4,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,47.0,2.0,5.0,45.0,20.0,2.0,3.0,15.0,0.0,0.0,0.2806084777367116,22.142595291137695,18.654939651489258,3.4876556396484375,0.6,1.0,0.5882352941176471,1.649999976158142,1.957446813583374,1.8333333730697632,2.0444445610046387,5,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,47.0,2.0,5.0,45.0,20.0,2.0,2.0,16.0,0.0,0.0,-0.02748452724574165,20.231945419311522,19.92870502471924,0.30324039459228513,0.4,1.0,0.3987933634992458,1.8199999928474426,1.957446813583374,2.0222222089767454,2.0444445610046387,5,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,46.0,5.0,5.0,41.0,20.0,5.0,3.0,12.0,0.0,0.0,0.24551373727900916,22.862220764160156,16.362180709838867,6.500040054321289,0.6,1.0,0.5882352941176471,1.7000000476837158,1.89130437374115,2.2666666507720947,2.121951103210449,6,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,46.0,5.0,5.0,41.0,20.0,5.0,2.1,12.9,0.0,0.0,0.06629396631880739,18.246779441833496,19.024937629699707,-0.7781581878662109,0.4200000000000001,1.0,0.3872406506462234,1.5549999952316285,1.89130437374115,2.0733333468437194,2.121951103210449,6,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,45.0,3.0,4.0,42.0,20.0,3.0,2.0,15.0,0.0,0.0,0.3139159543848616,23.990196228027344,17.647998809814453,6.342197418212891,0.5,1.0,0.5625,1.899999976158142,1.8444443941116333,2.2352941036224365,1.976190447807312,7,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,45.0,3.0,4.0,42.0,20.0,3.0,1.8,15.2,0.0,0.0,0.030470710110202432,21.095097541809082,19.616665840148926,1.4784317016601562,0.45,1.0,0.3939519140989729,1.6649999737739563,1.8444443941116333,1.9588235378265382,1.976190447807312,7,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,44.0,7.0,4.0,37.0,20.0,7.0,1.0,12.0,0.0,0.0,0.42504436384220884,28.54999542236328,14.300694465637207,14.249300956726074,0.25,1.0,0.5555555555555556,1.5499999523162842,1.8181818723678589,2.384615421295166,2.1621620655059814,8,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,44.0,7.0,4.0,37.0,20.0,7.0,1.5,11.5,0.0,0.0,0.010837737075247347,19.51615333557129,19.194026947021484,0.3221263885498047,0.375,1.0,0.337422170622635,1.3749999761581422,1.8181818723678589,2.115384650230408,2.1621620655059814,8,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,43.0,5.0,4.0,38.0,20.0,5.0,2.0,13.0,0.0,0.0,0.4535221006556209,24.887779235839844,16.110868453979492,8.776910781860352,0.5,1.0,0.5882352941176471,1.7000000476837158,1.7674418687820435,2.2666666507720947,2.0,9,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,43.0,5.0,4.0,38.0,20.0,5.0,1.5,13.5,0.0,0.0,-0.0567947861131566,20.19944429397583,19.168477249145507,1.0309670448303223,0.375,1.0,0.3730945009582781,1.4599999785423279,1.7674418687820435,1.94666668176651,2.0,9,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,42.0,2.0,4.0,40.0,20.0,2.0,2.0,16.0,0.0,0.0,0.28949353666178823,21.134258270263672,14.634847640991211,6.499410629272461,0.5,1.0,0.5625,1.7000000476837158,1.6904761791229248,1.8888888359069824,1.774999976158142,10,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,42.0,2.0,4.0,40.0,20.0,2.0,1.7,16.3,0.0,0.0,-0.016786473328595865,17.794814109802246,17.367120456695556,0.42769365310668944,0.425,1.0,0.41328880270056745,1.5550000071525574,1.6904761791229248,1.7277777791023254,1.774999976158142,10,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,41.0,4.0,4.0,37.0,20.0,4.0,3.0,13.0,0.0,0.0,0.31690544715079694,20.350000381469727,14.855554580688477,5.49444580078125,0.75,1.0,0.625,1.7999999523162842,1.6585365533828735,2.25,1.837837815284729,11,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,41.0,4.0,4.0,37.0,20.0,4.0,1.5,14.5,0.0,0.0,0.0020149368159700838,17.987394905090333,16.655634021759035,1.3317608833312988,0.375,1.0,0.5273611111111111,1.5549999952316285,1.6585365533828735,1.94375,1.837837815284729,11,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,40.0,6.0,3.0,34.0,20.0,6.0,1.0,13.0,0.0,0.0,0.4283815055123664,23.579763412475586,13.53333568572998,10.046427726745605,0.3333333333333333,1.0,0.5,1.350000023841858,1.625,1.9285714626312256,1.9117647409439087,12,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,40.0,6.0,3.0,34.0,20.0,6.0,1.0,13.0,0.0,0.0,-0.054612109403854955,17.632144069671632,17.696668243408205,-0.06452417373657227,0.33333333333333337,1.0,0.400941338073691,1.3949999928474426,1.625,1.9928571343421937,1.9117647409439087,12,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,39.0,3.0,3.0,36.0,20.0,3.0,1.0,16.0,0.0,0.0,0.4388004763016245,23.895095825195312,12.685966491699219,11.209129333496094,0.3333333333333333,1.0,0.6470588235294118,1.7000000476837158,1.5897436141967773,2.0,1.7222222089767456,13,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,39.0,3.0,3.0,36.0,20.0,3.0,1.6,15.4,0.0,0.0,-0.025880299398503365,17.255491638183592,18.626667499542236,-1.3711758613586427,0.5333333333333333,1.0,0.415532212885154,1.425000011920929,1.5897436141967773,1.6764705777168274,1.7222222089767456,13,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,38.0,3.0,3.0,35.0,20.0,3.0,1.0,16.0,0.0,0.0,0.44642273076467787,24.319610595703125,12.103706359863281,12.215904235839844,0.3333333333333333,1.0,0.625,1.600000023841858,1.5263158082962036,1.8823529481887817,1.6571428775787354,14,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,38.0,3.0,3.0,35.0,20.0,3.0,1.3,15.7,0.0,0.0,0.0018025902062422273,18.76921663284302,17.34574213027954,1.4234745025634765,0.4333333333333333,1.0,0.520421335200747,1.375000011920929,1.5263158082962036,1.6176470518112183,1.6571428775787354,14,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,37.0,3.0,3.0,34.0,20.0,3.0,1.0,16.0,0.0,0.0,0.12819166688098801,17.24411964416504,11.736275672912598,5.507843971252441,0.3333333333333333,1.0,0.625,1.4500000476837158,1.4324324131011963,1.7058823108673096,1.558823585510254,15,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,37.0,3.0,3.0,34.0,20.0,3.0,1.3,15.7,0.0,0.0,0.054443031665762545,14.389707660675048,14.590688037872315,-0.20098037719726564,0.4333333333333333,1.0,0.49830586080586087,1.3099999904632569,1.4324324131011963,1.541176450252533,1.558823585510254,15,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,36.0,3.0,3.0,33.0,20.0,3.0,1.0,16.0,0.0,0.0,0.1161069147589153,17.092159271240234,13.234376907348633,3.8577823638916016,0.3333333333333333,1.0,0.75,1.649999976158142,1.4166666269302368,1.941176414489746,1.545454502105713,16,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,36.0,3.0,3.0,33.0,20.0,3.0,2.2,14.8,0.0,0.0,0.07525946037701617,13.985100364685058,16.535626697540284,-2.550526332855225,0.7333333333333333,1.0,0.47637210012210013,1.2150000035762787,1.4166666269302368,1.4294117569923401,1.545454502105713,16,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,35.0,4.0,3.0,31.0,20.0,4.0,1.0,16.0,0.0,0.0,0.09451543275978846,14.351043701171875,12.353334426879883,1.9977092742919922,0.3333333333333333,1.0,0.5625,1.399999976158142,1.3428571224212646,1.75,1.5161290168762207,17,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,35.0,4.0,3.0,31.0,20.0,4.0,2.0,15.0,0.0,0.0,-0.032046005098812405,13.051668167114258,13.739335536956787,-0.6876673698425293,0.6666666666666667,1.0,0.4856897759103641,1.2549999952316284,1.3428571224212646,1.56875,1.5161290168762207,17,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,34.0,3.0,2.0,31.0,20.0,3.0,1.0,16.0,0.0,0.0,-0.02472673163723507,12.002941131591797,11.935714721679688,0.06722640991210938,0.5,1.0,0.5625,1.399999976158142,1.3235293626785278,1.6470588445663452,1.451612949371338,18,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,34.0,3.0,2.0,31.0,20.0,3.0,0.8,16.2,0.0,0.0,0.03139484205416157,12.376372623443604,11.48226194381714,0.8941106796264648,0.4,1.0,0.49742835595776774,1.2649999916553498,1.3235293626785278,1.4882352948188782,1.451612949371338,18,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,33.0,6.0,3.0,27.0,20.0,6.0,3.0,11.0,0.0,0.0,-0.10345523708923211,11.315474510192871,15.128203392028809,-3.8127288818359375,1.0,1.0,0.5625,1.25,1.2727272510528564,1.7857142686843872,1.5555555820465088,19,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,33.0,6.0,3.0,27.0,20.0,6.0,1.4,12.6,0.0,0.0,-0.04147419148592066,13.662140941619873,12.601024150848389,1.0611167907714845,0.4666666666666667,1.0,0.5447619047619048,1.1049999952316285,1.2727272510528564,1.5785714626312255,1.5555555820465088,19,random,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,32.0,6.0,3.0,26.0,20.0,6.0,3.0,11.0,0.0,0.0,0.21817396818862148,11.315474510192871,11.952776908874512,-0.6373023986816406,1.0,1.0,0.5,1.25,1.25,1.7857142686843872,1.5384615659713745,20,learned,3128_10j_5m.fjs,save_best_20_10_460.pt
20.0,32.0,6.0,3.0,26.0,20.0,6.0,1.5,12.5,0.0,0.0,0.028390145702778036,12.097855281829833,11.039997911453247,1.057857370376587,0.5,1.0,0.5502887308769662,1.1099999964237213,1.25,1.5857142567634583,1.5384615659713745,20,random,3128_10j_5m.fjs,save_best_20_10_460.pt
