k,n_open,n_eligible,n_critical,n_decision_relevant,n_kept,n_kept_eligible,n_kept_critical,n_kept_open_other,n_kept_completed,n_kept_padding,slack_correlation,mean_slack_kept,mean_slack_discarded,slack_diff_kept_minus_disc,critical_retention,eligible_retention,successor_retention,mean_frontier_dist_kept,mean_frontier_dist_all,mean_frontier_dist_kept_dr,mean_frontier_dist_all_dr,step,method,instance,rule
20.0,52.0,10.0,6.0,42.0,20.0,10.0,3.0,8.0,0.0,0.0,-0.06615166905314998,18.92500114440918,20.51666831970215,-1.5916671752929688,0.5,1.0,0.08333333333333333,2.0999999046325684,2.173076868057251,4.199999809265137,2.690476179122925,0,learned,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,52.0,10.0,6.0,42.0,20.0,10.0,1.9,9.1,0.0,0.0,-0.010916654745224262,20.094000625610352,20.151355361938478,-0.057354736328125,0.31666666666666665,1.0,0.2060285517715858,1.4149999856948852,2.173076868057251,2.8299999713897703,2.690476179122925,0,random,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,51.0,9.0,5.0,42.0,20.0,9.0,2.0,9.0,0.0,0.0,0.013197746781539775,21.107576370239258,20.390323638916016,0.7172527313232422,0.4,1.0,0.07692307692307693,2.049999952316284,2.117647171020508,3.7272727489471436,2.5714285373687744,1,learned,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,51.0,9.0,5.0,42.0,20.0,9.0,1.3,9.7,0.0,0.0,-0.004000057820824708,20.30197067260742,20.676183891296386,-0.37421321868896484,0.26,1.0,0.23199604403164775,1.4350000023841858,2.117647171020508,2.6090909242630005,2.5714285373687744,1,random,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,50.0,7.0,5.0,43.0,20.0,7.0,2.0,11.0,0.0,0.0,0.08974742085375081,20.369232177734375,20.753334045410156,-0.38410186767578125,0.4,1.0,0.07692307692307693,2.0,2.059999942779541,3.076923131942749,2.3953487873077393,2,learned,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,50.0,7.0,5.0,43.0,20.0,7.0,1.0,12.0,0.0,0.0,-0.05825230226649543,20.906411361694335,20.520556259155274,0.3858551025390625,0.2,1.0,0.3394782913165267,1.5899999856948852,2.059999942779541,2.4461538195610046,2.3953487873077393,2,random,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,49.0,5.0,5.0,44.0,20.0,5.0,2.0,13.0,0.0,0.0,0.0489679121146838,21.192224502563477,20.16264533996582,1.0295791625976562,0.4,1.0,0.15384615384615385,2.0,2.0,2.6666667461395264,2.2272727489471436,3,learned,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,49.0,5.0,5.0,44.0,20.0,5.0,1.1,13.9,0.0,0.0,-0.02743903845268534,20.769668102264404,20.381207847595213,0.38846025466918943,0.22000000000000003,1.0,0.38493390338591577,1.6,2.0,2.1333333134651182,2.2272727489471436,3,random,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,48.0,4.0,5.0,44.0,20.0,4.0,3.0,13.0,0.0,0.0,0.09474688639266605,20.742708206176758,20.287504196166992,0.4552040100097656,0.6,1.0,0.21428571428571427,1.850000023841858,1.9583333730697632,2.3125,2.1363637447357178,4,learned,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,48.0,4.0,5.0,44.0,20.0,4.0,1.5,14.5,0.0,0.0,-0.026397318759362833,21.8455228805542,19.657323265075682,2.1881996154785157,0.30000000000000004,1.0,0.368754994575428,1.7100000143051148,1.9583333730697632,2.1375,2.1363637447357178,4,random,3128_10j_5m.fjs,save_best_20_10_470.pt
20.0,47.0,5.0,5.0,42.0,20.0,5.0,3.0,12.0,0.0,0.0,0.08197316527790705,19.967777252197266,20.27901268005371,-0.3112354278564453,0.6,1.0,0.21428571428571427,1.850000023841858,1.936170220375061,2.4666666984558105,2.1666667461395264,5,learned,3128_10j_5m.fjs,save_best_20_10_470.pt
